PLAYER_NAME,TEAM_ABBREVIATION,TWITTER_HANDLE,ACTIVE_TWITTER_LAST_YEAR
Russell Westbrook,OKC,russwest44,1
Boban Marjanovic,DET,0,0
Demetrius Jackson,BOS,d_jay11,1
Anthony Davis,NOP,antdavis23,1
James Harden,HOU,jharden13,1
Kevin Durant,GSW,KDTrey5,1
LeBron James,CLE,KingJames,1
Chris Paul,LAC,cp3,1
DeMarcus Cousins,NOP,boogiecousins,1
Giannis Antetokounmpo,MIL,giannis_an34,1
Kawhi Leonard,SAS,kawhileonard,0
Joel Embiid,PHI,JoelEmbiid,1
Karl-Anthony Towns,MIN,karltowns,1
Nikola Jokic,DEN,jokicnikola15,1
Jimmy Butler,CHI,jimmybutler,1
Hassan Whiteside,MIA,youngwhiteside,1
Rudy Gobert,UTA,rudygobert27,1
Isaiah Thomas,BOS,isaiah_thomas,1
Mike Conley,MEM,mconley11,1
Damian Lillard,POR,Dame_Lillard,1
Gordon Hayward,UTA,gordonhayward,1
DeMar DeRozan,TOR,DeMar_DeRozan,1
Joel Bolomboy,UTA,bolomboy21,1
Enes Kanter,OKC,enes_kanter,1
John Wall,WAS,johnwall,1
Blake Griffin,LAC,blakegriffin32,1
Zach Randolph,MEM,MacBo50,1
Dwight Howard,ATL,dwighthoward,1
Stephen Curry,GSW,stephencurry30,1
Marc Gasol,MEM,marcgasol,1
DeAndre Jordan,LAC,deandre,1
Kevin Love,CLE,kevinlove,1
Kyle Lowry,TOR,klow7,1
Pau Gasol,SAS,paugasol,1
Nikola Vucevic,ORL,nikolavucevic,1
Eric Bledsoe,PHX,ebled2,1
Greg Monroe,MIL,m10ose,0
Edy Tavares,CLE,waltertavares22,1
Josh Huestis,OKC,jhuestis,1
Kemba Walker,CHA,kembawalker,1
Andre Drummond,DET,andredrummond,1
Jonas Valanciunas,TOR,jvalanciunas,1
Paul George,IND,yg_trece,1
Kyrie Irving,CLE,kyrieirving,1
J.J. Barea,DAL,jjbareapr,1
Lou Williams,HOU,teamlou23,1
Al Jefferson,IND,0,0
Willy Hernangomez,NYK,willyhg94,1
Kyle O'Quinn,NYK,kyle_oquinn,1
Jeremy Lin,BKN,JLin7,1
Jeff Teague,IND,teague0,1
Tyson Chandler,PHX,tysonchandler,1
Clint Capela,HOU,capelaclint,1
Goran Dragic,MIA,goran_dragic,1
Beno Udrih,DET,benoudrih1,1
Shawn Long,PHI,shawnlong21,1
George Hill,UTA,george_hill3,1
Alan Williams,PHX,alantwilliams,1
Trevor Booker,BKN,35_fitz,1
Archie Goodwin,BKN,a1laflare10,1
Nerlens Noel,DAL,nerlensnoel3,1
Paul Millsap,ATL,paulmillsap4,1
David Lee,SAS,lee042,1
Al Horford,BOS,al_horford,1
JaVale McGee,GSW,javalemcgee34,1
CJ McCollum,POR,cjmccollum,1
Rudy Gay,SAC,0,0
Dirk Nowitzki,DAL,swish41,1
Brook Lopez,BKN,0,0
Jeremy Lamb,CHA,jlamb,1
Kenneth Faried,DEN,kennethfaried35,1
Dewayne Dedmon,SAS,d_dedmon3,1
David West,GSW,d_west30,1
Brandon Bass,LAC,bestbetbass,1
LaMarcus Aldridge,SAS,aldridge_12,1
Jabari Parker,MIL,jabariparker,1
Dwyane Wade,CHI,dwyanewade,1
Jrue Holiday,NOP,jrue_holiday11,1
Jarnell Stokes,DEN,jarnellstokes,1
James Johnson,MIA,0,0
Nick Collison,OKC,nickcollison4,1
Bradley Beal,WAS,realdealbeal23,1
Carmelo Anthony,NYK,carmeloanthony,1
Nicolas Batum,CHA,nicolas88batum,1
Tyreke Evans,SAC,tyrekeevans,1
Dennis Schroder,ATL,DennisMike93,1
Draymond Green,GSW,money23green,1
Jusuf Nurkic,POR,bosnianbeast27,1
Elfrid Payton,ORL,elfrid,1
Richaun Holmes,PHI,rich_holmes22,1
Michael Beasley,MIL,easyst0,1
Brandan Wright,MEM,bwright34,1
Ricky Rubio,MIN,rickyrubio9,1
Marreese Speights,LAC,mospeights16,1
Danilo Gallinari,DEN,gallinari8888,1
Thomas Robinson,LAL,trobinson0,1
Tobias Harris,DET,tobias31,1
Julius Randle,LAL,j30_randle,1
Cheick Diallo,NOP,cheick_diallo13,1
Harrison Barnes,DAL,hbarnes,1
